date,production_line,shift,shift_name,vehicle_model,planned_production_time_min,downtime_min,actual_production_time_min,expected_units,actual_units,good_units,defect_count,rework_count,scrap_count,target_cycle_time_min,actual_cycle_time_min,availability_pct,performance_pct,quality_pct,oee_score,primary_downtime_cause,operators_count,line_speed_units_per_hour
2025-10-10,Line_A,1,Morning,Peugeot_208,480,41.29,438.71,192,165,164,1,0,1,2.5,2.66,91.4,85.94,99.39,78.07,Operator_Absence,8,22.57
2025-10-10,Line_A,2,Afternoon,Peugeot_208,480,35.42,444.58,192,177,174,3,2,1,2.5,2.51,92.62,92.19,98.31,83.94,Setup_Changeover,10,23.89
2025-10-10,Line_A,3,Night,Peugeot_208,480,45.98,434.02,192,148,135,13,9,4,2.5,2.93,90.42,77.08,91.22,63.58,Maintenance_Preventive,9,20.46
2025-10-10,Line_B,1,Morning,Peugeot_308,480,13.7,466.3,160,131,126,5,3,2,3.0,3.56,97.15,81.88,96.18,76.5,Maintenance_Preventive,8,16.86
2025-10-10,Line_B,2,Afternoon,Peugeot_308,480,8.68,471.32,160,152,150,2,1,1,3.0,3.1,98.19,95.0,98.68,92.05,Operator_Absence,12,19.35
2025-10-10,Line_B,3,Night,Peugeot_308,480,13.3,466.7,160,146,134,12,8,4,3.0,3.2,97.23,91.25,91.78,81.43,Setup_Changeover,12,18.77
2025-10-10,Line_C,1,Morning,Citroen_C3,480,7.09,472.91,171,162,157,5,3,2,2.8,2.92,98.52,94.74,96.91,90.46,Equipment_Failure,8,20.55
2025-10-10,Line_C,2,Afternoon,Citroen_C3,480,10.11,469.89,171,146,144,2,1,1,2.8,3.22,97.89,85.38,98.63,82.44,Setup_Changeover,8,18.64
2025-10-10,Line_C,3,Night,Citroen_C3,480,42.42,437.58,171,145,137,8,5,3,2.8,3.02,91.16,84.8,94.48,73.04,Maintenance_Preventive,9,19.88
2025-10-10,Line_D,1,Morning,Opel_Corsa,480,24.38,455.62,184,161,156,5,3,2,2.6,2.83,94.92,87.5,96.89,80.48,Quality_Issue,12,21.2
2025-10-10,Line_D,2,Afternoon,Opel_Corsa,480,10.48,469.52,184,160,152,8,5,3,2.6,2.93,97.82,86.96,95.0,80.81,Setup_Changeover,12,20.45
2025-10-10,Line_D,3,Night,Opel_Corsa,480,75.09,404.90999999999997,184,154,149,5,3,2,2.6,2.63,84.36,83.7,96.75,68.31,Maintenance_Preventive,12,22.82
2025-10-10,Line_E,1,Morning,Fiat_500,480,26.72,453.28,200,176,166,10,7,3,2.4,2.58,94.43,88.0,94.32,78.38,Equipment_Failure,9,23.3
2025-10-10,Line_E,2,Afternoon,Fiat_500,480,12.62,467.38,200,192,189,3,2,1,2.4,2.43,97.37,96.0,98.44,92.02,Equipment_Failure,12,24.65
2025-10-10,Line_E,3,Night,Fiat_500,480,63.0,417.0,200,167,151,16,11,5,2.4,2.5,86.88,83.5,90.42,65.59,Material_Shortage,8,24.03
2025-10-13,Line_A,1,Morning,Peugeot_208,480,28.09,451.91,192,168,162,6,4,2,2.5,2.69,94.15,87.5,96.43,79.44,Maintenance_Preventive,11,22.31
2025-10-13,Line_A,2,Afternoon,Peugeot_208,480,8.82,471.18,192,175,168,7,4,3,2.5,2.69,98.16,91.15,96.0,85.89,Material_Shortage,10,22.28
2025-10-13,Line_A,3,Night,Peugeot_208,480,19.92,460.08,192,184,183,1,0,1,2.5,2.5,95.85,95.83,99.46,91.36,Maintenance_Preventive,9,24.0
2025-10-13,Line_B,1,Morning,Peugeot_308,480,31.42,448.58,160,149,142,7,4,3,3.0,3.01,93.45,93.12,95.3,82.94,Material_Shortage,8,19.93
2025-10-13,Line_B,2,Afternoon,Peugeot_308,480,38.61,441.39,160,139,131,8,5,3,3.0,3.18,91.96,86.88,94.24,75.29,Setup_Changeover,11,18.89
2025-10-13,Line_B,3,Night,Peugeot_308,480,101.11,378.89,160,111,109,2,1,1,3.0,3.41,78.94,69.38,98.2,53.77,Setup_Changeover,10,17.58
2025-10-13,Line_C,1,Morning,Citroen_C3,480,89.7,390.3,171,138,138,0,0,0,2.8,2.83,81.31,80.7,100.0,65.62,Material_Shortage,12,21.21
2025-10-13,Line_C,2,Afternoon,Citroen_C3,480,13.31,466.69,171,166,162,4,2,2,2.8,2.81,97.23,97.08,97.59,92.11,Material_Shortage,8,21.34
2025-10-13,Line_C,3,Night,Citroen_C3,480,29.93,450.07,171,157,151,6,4,2,2.8,2.87,93.76,91.81,96.18,82.8,Operator_Absence,11,20.93
2025-10-13,Line_D,1,Morning,Opel_Corsa,480,41.92,438.08,184,166,153,13,9,4,2.6,2.64,91.27,90.22,92.17,75.89,Quality_Issue,8,22.74
